Treatment,Bottle,Timepoint,Mean_doc,SD_doc
Control,A,0,139.8,0.9
Control,A,6,138.2,2.4
Control,A,11,138.5,1.6
Control,A,15,138.7,0.3
Control,B,0,140.5,0.9
Control,B,6,136.5,0.3
Control,B,11,136.3,0.1
Control,B,15,137.0,1.0
Mud Leachate,C,0,150.9,0.7
Mud Leachate,C,6,145.8,0.4
Mud Leachate,C,11,143.6,0.9
Mud Leachate,C,15,143.7,0.7
Mud Leachate,D,0,148.8,1.1
Mud Leachate,D,6,144.6,0.4
Mud Leachate,D,11,143.0,1.5
Mud Leachate,D,15,144.9,1.0
UV-Mud Leachate,E,0,145.2,0.8
UV-Mud Leachate,E,6,144.2,0.4
UV-Mud Leachate,E,11,143.2,0.8
UV-Mud Leachate,E,15,142.0,1.1
UV-Mud Leachate,F,0,146.9,1.1
UV-Mud Leachate,F,6,144.1,0.5
UV-Mud Leachate,F,11,143.0,0.2
UV-Mud Leachate,F,15,142.9,0.3
,,,,
