  Well ,  Sample ID ,  Date , CN25.P05.CN25.Concentration Concentration for CN25 gated by P05.CN25  (cells/mL) , HNA.Percent Percent for HNA gated by P05.PotentialPostives  (%) , HNA.Concentration Concentration for HNA gated by P05.PotentialPostives  (cells/mL) , all_cells.Concentration Concentration for all_cells gated by P05.PotentialPostives  (cells/mL) 
 A01, A0-Rep 001, 04.08.2019,188053.9897,34.41,72309.06005,153401.9583
 A01, A0-Rep 002, 04.08.2019,192864.582,33.05,71172.11293,155803.4
 A02, A0.5-Rep 001, 04.08.2019,255872.2668,53.01,144157.603,224707.4653
 A02, A0.5-Rep 002, 04.08.2019,267526.2069,54.86,154359.3575,238488.8651
 A03, A1-Rep 001, 04.08.2019,407873.6362,50.14,214909.459,358839.6472
 A03, A1-Rep 002, 04.08.2019,427541.715,51.02,227339.013,377769.532
 A04, A1.5-Rep 001, 04.08.2019,683389.1513,59.58,419929.101,610440.7425
 A04, A1.5-Rep 002, 04.08.2019,674344.2329,60.59,421569.5117,614020.6207
 A05, A2-Rep 001, 04.08.2019,753405.0038,61.17,475650.5737,675335.1696
 A05, A2-Rep 002, 04.08.2019,758665.5188,62.59,489383.4363,691970.5082
 A06, A2.5-Rep 001, 04.08.2019,853804.6751,59.73,526836.2939,768600.6136
 A06, A2.5-Rep 002, 04.08.2019,836756.4315,61.52,532946.0158,764333.9885
 A07, A3-Rep 001, 04.08.2019,877318.7578,55.1,504437.6871,777712.9132
 A07, A3-Rep 002, 04.08.2019,871767.8121,55.17,502722.172,783561.348
 A08, A3.5-Rep 001, 04.08.2019,922176.942,58.85,564666.6636,842826.1636
 A08, A3.5-Rep 002, 04.08.2019,913554.0723,60.49,573067.3632,835300.8664
 A09, A4-Rep 001, 04.08.2019,825284.409,54.64,473373.2953,744800.5526
 A09, A4-Rep 002, 04.08.2019,832009.9398,53.52,466371.7216,743737.4148
 A10, A4.5-Rep 001, 04.08.2019,1006112.45,54.29,574724.7989,930209.3955
 A10, A4.5-Rep 002, 04.08.2019,1019111.75,53.99,578203.4824,929045.2324
 A11, A5-Rep 001, 04.08.2019,930835.1466,56.14,546051.0463,853216.9181
 A11, A5-Rep 002, 04.08.2019,929235.0653,56.01,544989.0681,837381.8819
 A12, A5.5-Rep 001, 04.08.2019,982553.0713,56.41,596361.295,902840.8897
 A12, A5.5-Rep 002, 04.08.2019,1003793.543,55.84,604137.0063,934876.0515
 B01, A6-Rep 001, 04.08.2019,878697.6127,58.87,547222.347,808052.2953
 B01, A6-Rep 002, 04.08.2019,875403.4759,56.75,523986.3649,789349.6799
 B02, A6.5-Rep 001, 04.08.2019,945378.5233,56.94,562720.6055,854951.8718
 B02, A6.5-Rep 002, 04.08.2019,961844.0826,56.88,574440.2711,873173.45
 B03, A7-Rep 001, 04.08.2019,973179.3272,57.27,583968.7769,881612.3703
 B03, A7-Rep 002, 04.08.2019,955404.3753,57.34,575088.042,865540.6004
 B04, A8-Rep 001, 04.08.2019,1067650.062,56.88,632912.3033,973069.2849
 B04, A8-Rep 002, 04.08.2019,1080685.053,60.34,680389.5671,998483.5295
 B05, A9-Rep 001, 04.08.2019,960726.0275,61.77,621989.799,895778.0883
 B05, A9-Rep 002, 04.08.2019,963479.6672,62.38,632651.1751,902932.5765
 B06, A10-Rep 001, 04.08.2019,823750.8667,58.97,517102.2846,774820.3809
 B06, A10-Rep 002, 04.08.2019,831925.4082,60.35,536510.9894,794498.5438
 B07, A11-Rep 001, 04.08.2019,371350.0087,48.39,202246.7858,350410.6328
 B07, A11-Rep 002, 04.08.2019,374411.7209,46.18,194295.2385,350513.9956
 B08, A11_P-Rep 001, 04.08.2019,773875.5957,56.51,469425.8256,705841.6634
 B08, A11_P-Rep 002, 04.08.2019,785206.8258,56.31,475583.4824,718231.5636
 B09, A12-Rep 001, 04.08.2019,393102.9544,47.82,208267.0428,362964.7709
 B09, A12-Rep 002, 04.08.2019,398386.1534,48.03,212723.5903,369332.0882
 B10, A13-Rep 001, 04.08.2019,325195.1268,46.53,168556.6364,299475.1156
 B10, A13-Rep 002, 04.08.2019,349805.562,42.68,167957.0411,316080.3548
 B11, A15-Rep 001, 04.08.2019,385968.1511,42.49,189068.3277,349925.4716
 B11, A15-Rep 002, 04.08.2019,400028.8217,39.9,186964.3902,366618.8944
 C01, B0-Rep 001, 04.08.2019,131748.0703,38.36,58331.67103,114230.3214
 C01, B0-Rep 002, 04.08.2019,144288.0606,34.78,57169.50042,127521.8471
 C02, B0.5-Rep 001, 04.08.2019,266998.8989,55.82,159348.6425,242848.2447
 C02, B0.5-Rep 002, 04.08.2019,274286.0263,54.03,159505.6937,250314.4136
 C03, B1-Rep 001, 04.08.2019,359263.9756,57.62,217536.6779,324568.3478
 C03, B1-Rep 002, 04.08.2019,370939.7206,56.5,221591.1843,337053.9182
 C04, B1.5-Rep 001, 04.08.2019,681750.4629,62.98,445539.5264,617869.5178
 C04, B1.5-Rep 002, 04.08.2019,683297.0383,61.43,439114.3118,625253.6033
 C05, B2-Rep 001, 04.08.2019,704460.1745,58.91,435190.3196,636348.5679
 C05, B2-Rep 002, 04.08.2019,703605.5081,58.43,433256.0843,649031.4061
 C06, B2.5-Rep 001, 04.08.2019,891510.5603,61.54,571972.0588,828309.2279
 C06, B2.5-Rep 002, 04.08.2019,873940.5053,60.74,553468.3171,814803.0444
 C07, B3-Rep 001, 04.08.2019,906597.6646,58.93,560430.0889,827378.5463
 C07, B3-Rep 002, 04.08.2019,895673.5782,59.51,560360.9613,824957.5504
 C08, B3.5-Rep 001, 04.08.2019,1028131.659,64.8,698866.375,967520.1003
 C08, B3.5-Rep 002, 04.08.2019,1020420.711,65.33,697834.032,957826.0776
 C09, B4-Rep 001, 04.08.2019,771707.0238,61.47,505238.3721,724035.2724
 C09, B4-Rep 002, 04.08.2019,766782.3337,60.13,498881.4296,728119.6452
 C10, B4.5-Rep 001, 04.08.2019,1023015.675,63.96,687456.2151,962503.1905
 C10, B4.5-Rep 002, 04.08.2019,991780.3812,64.52,675138.9554,936844.2448
 C11, B5-Rep 001, 04.08.2019,772294.1223,52.87,457594.8699,738279.5991
 C11, B5-Rep 002, 04.08.2019,763365.6625,50.56,437098.1642,732329.618
 C12, B5.5-Rep 001, 04.08.2019,992436.2085,58.01,619178.5809,925832.617
